code,tradeStatus_x,code_name_x
sz.000078,1,海王生物
sz.000088,1,盐田港
sz.000089,1,深圳机场
sz.000090,1,天健集团
sz.000096,1,广聚能源
sz.000099,1,中信海直
sz.000100,1,TCL科技
sz.000151,1,中成股份
sz.000153,1,丰原药业
sz.000155,1,川能动力
sz.000157,1,中联重科
sz.000158,1,常山北明
sz.000159,1,国际实业
sz.000301,1,东方盛虹
sz.000338,1,潍柴动力
sz.000400,1,许继电气
sz.000401,1,冀东水泥
sz.000402,1,金融街
sz.000404,1,长虹华意
sz.000407,1,胜利股份
sz.000408,1,藏格矿业
sz.000409,1,云鼎科技
sz.000410,1,沈阳机床
sz.000411,1,英特集团
sz.000413,1,东旭光电
sz.000416,1,*ST民控
sz.000417,1,合肥百货
sz.000419,1,通程控股
sz.000420,1,吉林化纤
sz.000421,1,南京公用
sz.000422,1,湖北宜化
sz.000423,1,东阿阿胶
sz.000425,1,徐工机械
sz.000426,1,兴业银锡
sz.000428,1,华天酒店
sz.000429,1,粤高速A
sz.000430,1,张家界
sz.000488,1,晨鸣纸业
sz.000501,1,武商集团
sz.000503,1,国新健康
sz.000504,1,南华生物
sz.000505,1,京粮控股
sz.000506,1,中润资源
sz.000507,1,珠海港
sz.000509,1,华塑控股
sz.000510,1,新金路
sz.000513,1,丽珠集团
sz.000514,1,渝开发
sz.000516,1,国际医学
sz.000517,1,荣安地产
sz.000518,1,四环生物
sz.000519,1,中兵红箭
sz.000520,1,凤凰航运
sz.000521,1,长虹美菱
sz.000523,1,广州浪奇
sz.000524,1,岭南控股
sz.000525,1,ST红太阳
sz.000526,1,学大教育
sz.000528,1,柳工
sz.000529,1,广弘控股
sz.000530,1,冰山冷热
sz.000531,1,穗恒运A
sz.000532,1,华金资本
sz.000533,1,顺钠股份
sz.000534,1,万泽股份
sz.000536,1,华映科技
sz.000537,1,广宇发展
sz.000538,1,云南白药
sz.000539,1,粤电力A
sz.000541,1,佛山照明
sz.000543,1,皖能电力
sz.000544,1,中原环保
sz.000545,1,金浦钛业
sz.000546,1,金圆股份
sz.000547,1,航天发展
sz.000548,1,湖南投资
